type,geometry.type,geometry.coordinates,properties.SUBTYPECD,properties.GRID_ADDRE,properties.WATTS,properties.FIXTURE_ST,properties.DECAL_COLO,properties.DECAL_NUMB,properties.LAMP_CD,properties.USE_CD,properties.MOUNT_HEIG,properties.OWNER,properties.BRACKET_CD,properties.BRACKET_LN,properties.INSTALL_DA,properties.RELATEDPOL,properties.FIRSTONPOL,properties.BRIDGE_IND,properties.MATERIAL_C,properties.STYLE,properties.WORK_EFFEC,properties.WORK_REQUE,properties.LUMENS,properties.CONTRACT_N,properties.NOM_VOLT,properties.SYMBOLROTA,properties.SUBMISSION,properties.WORKREQUES,properties.DESIGNID,properties.WORKLOCATI,properties.WORKFLOWST,properties.WORKFUNCTI,properties.ENABLED,properties.NONSTANDAR,properties.NONSTAND_1,properties.STREETLIGH,properties.PREMISE_ID,properties.ISWATCHLIG,properties.INSPECTION,properties.BASIC_PREM,properties.CUID,properties.PATTERN,properties.COLOR_TEMP,properties.BASE_COLOR,long,lat,copyright,date,pano_id,status,view_lat,view_long
Feature,Point,"[-78.458582, 38.042417]",1,G0026XA7400,150,ENCL,YLO,15,HPS,STL,0,DOM,,,,14147582,YES,NO,W,STD,2012/03/13,8171193,14000,374030,0,49.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.45858199999998,38.042417,© Google,2014-10,a_yLeEH8ZZuJXQbJRtww6w,OK,38.042434402881405,-78.45850716293627
Feature,Point,"[-78.479692, 38.061915]",4,G0026LO5600,175,ENCL,LTBL,17,MV,STL,0,DOM,,,,14147821,YES,NO,W,STD,,0,7000,374030,120,60.0,CHV01,7325364,357845.0,1,0,0,1,,,,0,,,,,,,,-78.479692,38.061915,© Google,2014-10,A35ESRQ-58PnHk0A71oboQ,OK,38.061936694430976,-78.47962523039787
Feature,Point,"[-78.481533, 38.021418]",1,G0025KA2500,250,ENCL,YLO,25,HPS,STL,0,DOM,,,,16116707,YES,NO,W,STD,2010/10/12,4544307,23000,374030,0,292.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.481533,38.021418,© Google,2019-07,_r_NJzSUPJGCGgOp6b78gA,OK,38.0213607,-78.48157320000001
Feature,Point,"[-78.473402, 38.067597]",1,G0027PD1600,150,COLN,YLO,15,HPS,STL,0,DOM,,,,16100142,YES,NO,C,STD,2010/08/12,3333333,14000,374030,0,181.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.47340200000002,38.067597,© Google,2014-10,gi2iZTFwdP3DUKMC4ukwVA,OK,38.0675028,-78.47342990000001
Feature,Point,"[-78.474206, 38.068524]",1,G0027OE6300,150,COLN,YLO,15,HPS,STL,0,DOM,,,,16117128,YES,NO,C,STD,2010/08/12,3333333,14000,374030,0,154.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.47420600000002,38.068524,© Google,2014-10,oYLM-AxdRd6jpNHHHV4-2A,OK,38.0685973,-78.47406600000002
Feature,Point,"[-78.473706, 38.06706]",1,G0027OD9200,150,COLN,WHT,15,HPS,STL,0,DOM,,,,16117120,YES,NO,C,STD,2010/08/12,3333333,14000,374030,0,172.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.473706,38.06706,© Google,2019-07,_sa87aHJfPio_bDYttKBSA,OK,38.067052566372816,-78.47364232172288
Feature,Point,"[-78.478601, 38.035166]",1,G0025MK1200,150,ENCL,YLO,15,HPS,STL,0,DOM,,,,16116861,YES,NO,W,STD,2010/10/05,4538044,14000,374030,0,322.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.478601,38.035166,© Google,2012-10,LKItVgftj6IlaqytRW8qLA,OK,38.03518342961241,-78.47856308838314
Feature,Point,"[-78.478182, 38.015479]",1,G0024ML3100,250,ENCL,YLO,25,HPS,STL,0,DOM,,,,14164281,YES,NO,W,STD,2010/12/03,4586403,23000,374030,0,265.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.47818199999998,38.015479,© Google,2019-07,KReeyVkXW4ThZJeh45oQfg,OK,38.0153819,-78.4781606
Feature,Point,"[-78.50633, 38.040567]",1,F2325UO2400,400,ENCL,YLO,40,HPS,STL,0,DOM,,,,16116107,YES,NO,W,STD,2010/11/02,4511656,42000,374030,0,171.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.50633,38.040567,© Google,2019-07,yrfDdfEo9fl4I3NG_3Kefw,OK,38.040652,-78.5063733
Feature,Point,"[-78.496224, 38.049613]",1,G0026CF1900,150,ENCL,YLO,15,HPS,STL,0,DOM,,,,16117069,YES,NO,W,STD,2010/11/22,4564256,14000,374030,0,177.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.496224,38.049613,© Google,2012-08,NeKJy8MdjTwMJQ9cKQCaKw,OK,38.04963019620636,-78.49623034408276
Feature,Point,"[-78.468506, 38.024067]",4,G0025SC0200,175,ENCL,LTBL,17,MV,STL,0,DOM,,,,14164207,YES,NO,W,STD,2012/03/02,7777777,7000,374030,0,134.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.468506,38.024067,© Google,2019-07,GoGDoN3E2cab_7wFxza24w,OK,38.0240854,-78.46862929999998
