geometry.coordinates,properties.GRID_ADDRE,properties.FIXTURE_ST,long,lat,copyright,date,pano_id,status,view_lat,view_long,streetview_dist,light_shown,pole_shown,able_zoom,pan_need,bearing_adj,remove
"[-78.486083, 38.033941]",G0025HJ8400,ENCL,-78.486083,38.033941,© Google,2012-08,ue0_6ISXZP3Rz4f96chVxA,OK,38.03376001,-78.48607823,20.09337219,,,,,,
"[-78.508908, 38.027638]",F2325SE4900,ENCL,-78.508908,38.027638,© Google,2012-10,zpUDaVCgDyzJv0ORbMHDzg,OK,38.0278084,-78.5089863,20.12452699,,,,,,
"[-78.481051, 38.013891]",G0024KK7000,ENCL,-78.481051,38.013891,© Google,2012-07,ZKZ8CbcFrLmMIOdwqk608g,OK,38.01393234,-78.48127577,20.26503361,1,1,1,,,
"[-78.469433, 38.067451]",G0027RD4500,COLN,-78.469433,38.067451,© Google,2019-07,5Tf3UPSSFh4xwEfGF6YcGw,OK,38.0674879,-78.4692059,20.34500833,,,,,,
"[-78.499821, 38.023228]",G0025AB0500,ENCL,-78.499821,38.023228,© Google,2012-08,O80p3e3gCcR3zfIp6V9c_w,OK,38.0233205,-78.4996178,20.585179,1,1,1,,,
"[-78.492576, 38.033697]",G0025EJ1100,CTMP,-78.492576,38.033697,© Google,2019-07,dHOWp0U27ybVY0w6CFUvYg,OK,38.03383023,-78.49241229,20.62213222,,,,,,
"[-78.518687, 38.0244]",F2325NC0400,ENFL,-78.518687,38.0244,© Google,2015-10,AWOgmDHUaZpCLS2rLoBQrg,OK,38.0245826,-78.5187359,20.71782599,,,,,,
"[-78.490864, 38.023464]",G0025FB1700,ENCL,-78.490864,38.023464,© Google,2012-10,B5Ylp-dEX-0VZmk2JX527A,OK,38.02337205,-78.49065665,20.87155161,1,1,1,,,
"[-78.479013, 38.047746]",G0026LE9400,RECT,-78.479013,38.047746,© Google,2019-07,TpCtjj5FTPRaCI5J9EQjLQ,OK,38.0476385,-78.4792091,20.94415912,,,,,,
"[-78.479013, 38.047746]",G0026LE9400,RECT,-78.479013,38.047746,© Google,2019-07,TpCtjj5FTPRaCI5J9EQjLQ,OK,38.0476385,-78.4792091,20.94415912,,,,,,
"[-78.498708, 38.044643]",G0026AC6100,ENCL,-78.498708,38.044643,© Google,2012-08,sTMWX2KNerTc7loG9Rkorg,OK,38.0445062,-78.498542,21.04498797,,,,,,
"[-78.491932, 38.03347]",G0025EJ6000,CTMP,-78.491932,38.03347,© Google,2019-07,zbVC9xk9lJO061kDnDd26w,OK,38.03366064,-78.49189315,21.43348883,,,,,,
"[-78.473958, 38.058725]",G0026OM8300,ENCL,-78.473958,38.058725,© Google,2014-10,wGApPPvvPitJ0Ioi70yxGA,OK,38.05856443,-78.47409379,21.44031769,1,1,1,,,
"[-78.491258, 38.033247]",G0025EI9900,CTMP,-78.491258,38.033247,© Google,2019-07,33r6qtgzN_CujuxwSSS3tA,OK,38.03341376,-78.49112177,22.03717995,1,1,1,,,
"[-78.486151, 38.019785]",G0024HO8300,ENCL,-78.486151,38.019785,© Google,2008-09,8x0aqrGFxTyvjHWVGiyyWw,OK,38.0196373,-78.4859804,22.2076003,1,1,1,,,
"[-78.490571, 38.026136]",G0025FD3300,COLN,-78.490571,38.026136,© Google,2017-07,OaLF8DMY_fprfYGu16MOEw,OK,38.0263274,-78.4904968,22.22128774,,,,,,
"[-78.49173, 38.042852]",G0026EA6900,ENCL,-78.49173,38.042852,© Google,2019-07,JRFU5CH7xoG8Ytgwvtq1nw,OK,38.04303578,-78.49184638,22.81442178,,,,,,
